feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	reference	fdr.pval
Actinobacteria_SGB14350	species	cat	11.30497413	0.231920406	2772	160	0	0	"dog,facility"	0
Actinobacteria_SGB14375	species	cat	9.455070861	0.194198059	2772	300	0	0	"dog,facility"	0
Blautia_SGB4793_SGB4793	species	cat	10.14423181	0.158070386	2772	400	0	0	"dog,facility"	0
Coriobacteriaceae_SGB53888	species	cat	14.77573569	0.326938463	2772	300	0	0	"dog,facility"	0
Eubacteriales_unclassified_SGB4861_SGB4861	species	cat	8.312860265	0.147560183	2772	376	0	0	"dog,facility"	0
Faecalibacterium_SGB15315_SGB15315	species	human	5.116266703	0.101630124	2772	208	0	0	"dog,facility"	0
Faecalicatena_fissicatena_SGB4871	species	human	5.563494544	0.118745572	2772	188	0	0	"dog,facility"	0
Firmicutes_bacterium_AF16_15_SGB4993	species	human	8.086940499	0.141474431	2772	282	0	0	"cat,facility"	0
Firmicutes_bacterium_AF16_15_SGB4993	species	human	8.086940499	0.09947086	2772	282	0	0	"dog,facility"	0
Lachnospiraceae_SGB106017	species	cat	7.840875061	0.173056527	2772	147	0	0	"dog,facility"	0
Lacrimispora_celerecrescens_SGB4868	species	human	4.318759005	0.093495901	2772	189	0	0	"dog,facility"	0
Oscillibacter_sp_ER4_SGB15254	species	human	6.695249286	0.114746689	2772	235	0	0	"dog,facility"	0
Roseburia_hominis_SGB4936	species	human	6.683318306	0.14758214	2772	256	0	0	"cat,facility"	0
Roseburia_hominis_SGB4936	species	human	6.737879835	0.103765198	2772	256	0	0	"dog,facility"	0
Firmicutes_SGB53576	species	cat	10.07147236	0.228704994	2772	304	7.42646336905039e-316	1.99828991269136e-313	"dog,facility"	1.73185125764279e-313
Eubacterium_ramulus_SGB4959	species	human	4.449334824	0.103565933	2772	181	0.00E+00	4.94E-307	"dog,facility"	4.32E-307
Oscillospiraceae_SGB15249	species	human	5.086787613	0.118847639	2772	177	1.24E-307	2.88E-305	"dog,facility"	2.54E-305
