"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","reference","fdr.pval"
"1","UniRef90_Q8G3I2..Isoleucine..tRNA.ligase","species","dog",-8.54880965942878,0.234681076157306,2874,320,6.50166451754249e-237,3.99202201377109e-234,"cat",5.98803302065663e-234
"2","UniRef90_Q46306..Tetracycline.resistance.protein.TetP","species","dog",7.57134676195099,0.352225715150296,2874,1613,6.99265507230827e-94,2.14674510719864e-91,"cat",3.22011766079796e-91
"3","UniRef90_A0A3A1YQQ5..Beta.lactamase","species","human",1.0727121650391,0.0533365798407161,2874,45,2.83191563462516e-84,5.79598733219949e-82,"dog",8.69398099829924e-82
"4","UniRef90_Q9KHL8..D.D.dipeptidase.D.D.carboxypeptidase","species","human",0.565857295234577,0.0316112497367067,2874,30,5.0906014869959e-68,7.81407328253871e-66,"dog",1.17211099238081e-65
"5","UniRef90_A0A086ZQ37..DNA.directed.RNA.polymerase.subunit.beta","species","dog",4.80802956621158,0.277793736766319,2874,690,1.19688292196867e-63,2.44962038029588e-61,"cat",2.20465834226629e-61
"6","UniRef90_A0A3A1YQQ5..Beta.lactamase","species","human",1.08210016850819,0.0650702068923178,2874,45,2.32674907923951e-59,3.57155983663265e-57,"cat",3.57155983663265e-57
"7","UniRef90_A0A2S1PKM6..Aminoglycoside.phosphotransferase","species","dog",4.53751205578749,0.27229183128202,2874,576,6.39277112567663e-59,7.8503229423309e-57,"cat",8.41106029535454e-57
"8","UniRef90_A0A089X2N7..VanW","species","human",0.406825946636289,0.0258133359515987,2874,25,9.79119739053695e-54,8.58827885398527e-52,"dog",1.12721159958557e-51
"9","UniRef90_Q6WRY5..D.alanine..D.alanine.ligase","species","human",0.332276888458151,0.0218686942623389,2874,22,3.29247846713171e-50,2.52697722352358e-48,"dog",3.36930296469812e-48
"10","UniRef90_A0A0H4JQQ7..Erythromycin.esterase.protein","species","human",0.714151720404877,0.047436910646381,2874,29,2.34067568914084e-49,1.59686097014719e-47,"dog",2.15576230969871e-47
"11","UniRef90_Q9KHL8..D.D.dipeptidase.D.D.carboxypeptidase","species","human",0.566297629889341,0.0385654754510898,2874,30,3.99988022672963e-47,4.09321076535332e-45,"cat",3.34899062619817e-45
"12","UniRef90_Q46194..23S.rRNA.methlyase","species","dog",3.63211488318153,0.260843770693643,2874,675,2.12533538134556e-42,1.86422274878025e-40,"cat",1.63119490518272e-40
