feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
Streptococcus_infantarius_SGB_8022,housing,Household,-10.17468902,0.418510504,2272,62,5.88E-109,8.72E-106
Slackia_SGB14780_SGB_14780,housing,Stray,3.558423892,0.191658363,2272,34,2.22E-64,1.65E-61
Ralstonia_mannitolilytica_SGB_12921,housing,Household,2.632944198,0.10625093,2272,31,2.88E-63,1.43E-60
Canicola_haemoglobinophilus_SGB_9760,housing,Stray,4.209393874,0.245008297,2272,30,5.02E-60,1.86E-57
Clostridium_cuniculi_SGB_29095,housing,Household,2.643268923,0.200807736,2272,28,1.70E-36,5.05E-34
Lactobacillaceae_SGB_7083,housing,Household,-4.875041906,0.384325304,2272,96,1.75E-33,4.33E-31
Senegalimassilia_faecalis_SGB_14822,housing,Household,0.911313167,0.061151176,2272,14,5.13E-32,1.09E-29
Holdemanella_biformis_SGB_6806,housing,Household,1.536749008,0.095078891,2272,20,1.30E-31,2.42E-29
Paeniclostridium_sordellii_SGB_6146,housing,Household,1.894446003,0.166260593,2272,25,1.53E-27,2.52E-25
Bifidobacterium_bifidum_SGB_17256,housing,Household,1.21946185,0.085164795,2272,9,1.56E-24,2.31E-22
Clostridium_baratii_SGB_6194,housing,Household,2.27389282,0.216069513,2272,55,7.39E-24,9.96E-22
Ruminococcus_sp_AF13_28_SGB_4834,housing,Household,0.463306645,0.040253701,2272,9,2.53E-23,3.12E-21
Eubacterium_rectale_SGB_4933,housing,Household,1.671671015,0.16370254,2272,20,1.99E-22,2.27E-20
Megasphaera_sp_NM10_SGB_5858,housing,Stray,1.138241017,0.084265726,2272,6,6.27E-22,6.64E-20
Clostridium_sp_Marseille_P3244_SGB_29302,housing,Stray,0.190817572,0.012919592,2272,2,5.09E-21,5.04E-19
Alistipes_ihumii_SGB_2328,housing,Stray,0.677804899,0.072138978,2272,14,2.17E-20,2.01E-18
Lactobacillus_crispatus_SGB_7045,housing,Stray,2.85405004,0.300031601,2272,24,4.46E-20,3.89E-18
Intestinibacter_bartlettii_SGB_6140,housing,Household,2.230319389,0.23995592,2272,49,3.03E-19,2.50E-17
Oscillospiraceae_bacterium_CLA_AA_H250_SGB_14861,housing,Stray,0.545394499,0.058248463,2272,3,3.70E-19,2.89E-17
Butyricimonas_paravirosa_SGB_1785,housing,Stray,0.547896077,0.047221779,2272,2,4.04E-19,3.00E-17
Enterococcus_gallinarum_SGB_7951,housing,Household,-2.168148114,0.241386553,2272,27,3.56E-18,2.51E-16
Helicobacter_bilis_SGB_19390,housing,Stray,10.70876422,1.225185837,2272,404,8.56E-18,5.78E-16
Streptococcus_infantarius_SGB_8022,housing,Stray,-4.841102815,0.565021307,2272,62,2.72E-17,1.75E-15
Phocaeicola_faecicola_SGB_1887,housing,Household,1.804072884,0.201649293,2272,22,3.97E-17,2.45E-15
Enterococcus_faecium_SGB_7968,housing,Household,-4.108935786,0.485190427,2272,146,7.47E-17,4.43E-15
Roseburia_inulinivorans_SGB_4940,housing,Household,0.716677578,0.075337807,2272,7,2.24E-16,1.28E-14
Blautia_massiliensis_SGB_4826,housing,Household,0.759071084,0.07515309,2272,14,2.65E-16,1.46E-14
Lentihominibacter_faecis_SGB_3957,housing,Household,0.530635695,0.046933967,2272,7,4.81E-16,2.55E-14
Helicobacter_cinaedi_SGB_44267,housing,Stray,6.195861842,0.761044527,2272,215,9.42E-16,4.82E-14
Actinobacteria_SGB_14321,housing,Household,0.567219368,0.055666697,2272,6,1.02E-15,4.89E-14
Gemmiger_formicilis_SGB_15300,housing,Household,0.853898543,0.094729454,2272,13,9.96E-16,4.89E-14
Faecalibacterium_prausnitzii_SGB_15316,housing,Household,1.030700926,0.087068746,2272,6,2.13E-15,9.90E-14
Turicibacter_sp_1E2_SGB_39153,housing,Household,-7.163182854,0.792177887,2272,1053,3.37E-15,1.52E-13
Odoribacter_splanchnicus_SGB_1790,housing,Stray,0.934929325,0.115647868,2272,12,4.06E-15,1.77E-13
Ligilactobacillus_agilis_SGB_7081,housing,Stray,3.252007605,0.41607614,2272,59,1.14E-14,4.83E-13
Firmicutes_SGB_15272,housing,Stray,0.071352856,0.006733837,2272,1,1.85E-14,7.41E-13
Lactobacillaceae_SGB_7083,housing,Stray,-4.235035332,0.5488443,2272,96,1.84E-14,7.41E-13
Anaerobiospirillum_succiniciproducens_SGB_3685,housing,Stray,9.094600961,1.18675037,2272,629,3.19E-14,1.25E-12
Oscillospiraceae_SGB_15121,housing,Stray,0.069888019,0.006758619,2272,1,4.23E-14,1.61E-12
Blautia_faecis_SGB_4820,housing,Household,0.655142875,0.080003354,2272,9,7.56E-14,2.80E-12
Eubacterium_tenue_SGB_6145,housing,Household,2.619019381,0.344012689,2272,91,7.75E-14,2.80E-12
Ruminococcus_bromii_SGB_4285,housing,Household,0.900898247,0.112650623,2272,15,8.65E-14,3.06E-12
Blautia_wexlerae_SGB_4831,housing,Household,0.549390632,0.06372226,2272,10,1.39E-13,4.79E-12
Coprococcus_comes_SGB_4577,housing,Household,0.719345352,0.086609251,2272,14,1.46E-13,4.93E-12
Paratractidigestivibacter_faecalis_SGB_14370,housing,Household,0.828799972,0.095294266,2272,9,1.51E-13,4.99E-12
Mediterraneibacter_sp_NSJ_151_SGB_4553,housing,Household,0.505445374,0.051690964,2272,10,1.55E-13,5.00E-12
Firmicutes_SGB_66598,housing,Household,-4.933577342,0.625846551,2272,949,2.41E-13,7.60E-12
